"No.","AI tool","Category","Best use","Useful student tasks","Free option","Skill level","URL"
"1","ChatGPT","General AI","Doubt clarification and general assistance","Explain concepts, answer questions, generate examples, practice questions, brainstorm ideas, summarize notes, help with coding, write essays, draft paragraphs, understand difficult topics, solve problems, create study plans, homework help, assignment help, clarify doubts, explain formulas, write code, debug errors, translate text, learn any subject","Yes, with usage limits","Beginner,Intermediate,Advanced","https://chat.openai.com"
"2","Google Gemini","General AI","Study and Google Workspace help","Explain topics, analyze images, draft documents in Google Docs, plan assignments, assist with Gmail and Slides, answer study questions, summarize long text, help with research, create presentations, write essays, brainstorm ideas, understand complex concepts, multilingual support","Yes","Beginner,Intermediate,Advanced","https://gemini.google.com"
"3","Claude","General AI","Long-form writing and document analysis","Understand lengthy PDFs, improve essays, write long essays, summarize chapters, brainstorm arguments, analyze documents, write reports, proofread writing, academic writing help, draft content, explain research papers, rewrite paragraphs","Yes, with limits","Intermediate,Advanced","https://claude.ai"
"4","Microsoft Copilot","General AI","General research and Microsoft Office tasks","Draft content, summarize information, assist with Word documents, create PowerPoint presentations, help with Excel, research topics, answer questions, write essays, explain concepts, generate ideas, Edge browser assistance","Yes","Beginner,Intermediate","https://copilot.microsoft.com"
"5","Perplexity","Research","Research with citations","Search topics online, compare sources, get source-linked explanations, create research outlines, find academic information, fact-check claims, research papers, find references, gather information for essays, current events, literature search","Yes, limited advanced features","Beginner,Intermediate,Advanced","https://www.perplexity.ai"
"6","NotebookLM","Study Tools","Studying from personal documents","Upload lecture slides, PDFs, textbooks, notes and generate summaries, FAQs, quizzes, study guides, ask questions about your own notes, summarize chapters, create flashcards from documents, understand lecture content, revision notes","Yes","Beginner,Intermediate","https://notebooklm.google"
"7","Elicit","Research","Academic literature review","Find research papers, extract key findings, compare studies, organize literature reviews, discover academic sources, search journal articles, summarize papers, systematic review, bibliography research","Limited free plan","Intermediate,Advanced","https://elicit.com"
"8","Consensus","Research","Evidence-based research","Ask questions about scientific research, identify findings from academic papers, evidence-based answers, verify scientific claims, research paper discovery, academic fact-checking","Limited free plan","Intermediate,Advanced","https://consensus.app"
"9","Semantic Scholar","Research","Finding research papers","Search scholarly literature, discover related papers, track influential studies, find academic journals, citation search, bibliography building, paper recommendations","Yes","Intermediate,Advanced","https://www.semanticscholar.org"
"10","ResearchRabbit","Research","Research discovery and citation mapping","Visualize connections between papers, find related research, citation network, author discovery, research topic exploration, academic literature mapping","Yes","Intermediate,Advanced","https://www.researchrabbit.ai"
"11","Scite","Research","Checking citations","See whether research papers support or dispute a claim, citation quality check, verify references, academic credibility check, smart citations","Limited free plan","Advanced","https://scite.ai"
"12","Grammarly","Writing","Grammar and writing improvement","Correct grammar mistakes, improve sentence clarity, adjust writing tone, rewrite sentences, check plagiarism, proofread essays, improve assignment writing, fix spelling errors, formal writing, academic writing check, improve paragraphs, punctuation correction","Yes, limited features","Beginner,Intermediate,Advanced","https://www.grammarly.com"
